#At time x process y state arr w total z remain y wait k
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 22 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 22 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 23 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 23 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 24 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 24 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 25 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 25 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 26 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 26 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 27 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 27 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 28 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 28 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 29 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 29 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
At time 30 process 3 resumed arr 18 total 28 remain 28 wait 162
At time 30 process 3 stopped arr 18 total 28 remain 28 wait 162
